rank,country_full,country_abrv,total_points,confederation,rank_date,wc_year
10,Croatia,CRO,1041.0,UEFA,2010-05-26,2010
11,Russia,RUS,1015.0,UEFA,2010-05-26,2010
12,Egypt,EGY,967.0,CAF,2010-05-26,2010
13,Greece,GRE,964.0,UEFA,2010-05-26,2010
14,USA,USA,957.0,CONCACAF,2010-05-26,2010
15,Serbia,SRB,947.0,UEFA,2010-05-26,2010
16,Uruguay,URU,899.0,CONMEBOL,2010-05-26,2010
17,Mexico,MEX,895.0,CONCACAF,2010-05-26,2010
18,Chile,CHI,888.0,CONMEBOL,2010-05-26,2010
19,Cameroon,CMR,887.0,CAF,2010-05-26,2010
20,Australia,AUS,886.0,AFC,2010-05-26,2010
21,Nigeria,NGA,883.0,CAF,2010-05-26,2010
22,Norway,NOR,882.0,UEFA,2010-05-26,2010
23,Ukraine,UKR,875.0,UEFA,2010-05-26,2010
24,Switzerland,SUI,866.0,UEFA,2010-05-26,2010
25,Slovenia,SVN,860.0,UEFA,2010-05-26,2010
26,Israel,ISR,857.0,UEFA,2010-05-26,2010
27,Cote d'Ivoire,CIV,856.0,CAF,2010-05-26,2010
28,Romania,ROU,853.0,UEFA,2010-05-26,2010
29,Turkiye,TUR,830.0,UEFA,2010-05-26,2010
30,Algeria,ALG,821.0,CAF,2010-05-26,2010
31,Paraguay,PAR,820.0,CONMEBOL,2010-05-26,2010
32,Ghana,GHA,800.0,CAF,2010-05-26,2010
33,Czech Republic,CZE,793.0,UEFA,2010-05-26,2010
34,Slovakia,SVK,777.0,UEFA,2010-05-26,2010
35,Colombia,COL,776.0,CONMEBOL,2010-05-26,2010
36,Denmark,DEN,767.0,UEFA,2010-05-26,2010
37,Sweden,SWE,761.0,UEFA,2010-05-26,2010
38,Honduras,HON,734.0,CONCACAF,2010-05-26,2010
39,Bulgaria,BUL,711.0,UEFA,2010-05-26,2010
40,Costa Rica,CRC,710.0,CONCACAF,2010-05-26,2010
41,Republic of Ireland,IRL,709.0,UEFA,2010-05-26,2010
42,Gabon,GAB,700.0,CAF,2010-05-26,2010
43,Scotland,SCO,699.0,UEFA,2010-05-26,2010
44,Ecuador,ECU,694.0,CONMEBOL,2010-05-26,2010
45,Japan,JPN,682.0,AFC,2010-05-26,2010
46,Latvia,LVA,652.0,UEFA,2010-05-26,2010
47,Korea Republic,KOR,632.0,AFC,2010-05-26,2010
48,Burkina Faso,BFA,611.0,CAF,2010-05-26,2010
49,Venezuela,VEN,608.0,CONMEBOL,2010-05-26,2010
49,Lithuania,LTU,608.0,UEFA,2010-05-26,2010
51,Bosnia and Herzegovina,BIH,604.0,UEFA,2010-05-26,2010
52,Finland,FIN,584.0,UEFA,2010-05-26,2010
53,Peru,PER,578.0,CONMEBOL,2010-05-26,2010
54,Mali,MLI,575.0,CAF,2010-05-26,2010
55,Tunisia,TUN,574.0,CAF,2010-05-26,2010
56,Northern Ireland,NIR,566.0,UEFA,2010-05-26,2010
57,Hungary,HUN,565.0,UEFA,2010-05-26,2010
58,Poland,POL,561.0,UEFA,2010-05-26,2010
59,Belgium,BEL,541.0,UEFA,2010-05-26,2010
60,Benin,BEN,531.0,CAF,2010-05-26,2010
61,IR Iran,IRN,521.0,AFC,2010-05-26,2010
61,North Macedonia,MKD,521.0,UEFA,2010-05-26,2010
63,Canada,CAN,516.0,CONCACAF,2010-05-26,2010
64,Montenegro,MNE,500.0,UEFA,2010-05-26,2010
65,Bolivia,BOL,499.0,CONMEBOL,2010-05-26,2010
66,Saudi Arabia,KSA,498.0,AFC,2010-05-26,2010
67,Cyprus,CYP,486.0,UEFA,2010-05-26,2010
68,Austria,AUT,479.0,UEFA,2010-05-26,2010
69,Bahrain,BHR,475.0,AFC,2010-05-26,2010
70,Morocco,MAR,463.0,CAF,2010-05-26,2010
71,Zambia,ZAM,456.0,CAF,2010-05-26,2010
72,El Salvador,SLV,452.0,CONCACAF,2010-05-26,2010
73,Uganda,UGA,440.0,CAF,2010-05-26,2010
74,Panama,PAN,434.0,CONCACAF,2010-05-26,2010
75,Senegal,SEN,422.0,CAF,2010-05-26,2010
76,Togo,TOG,418.0,CAF,2010-05-26,2010
77,Wales,WAL,415.0,UEFA,2010-05-26,2010
78,New Zealand,NZL,410.0,OFC,2010-05-26,2010
79,Albania,ALB,406.0,UEFA,2010-05-26,2010
80,Iraq,IRQ,405.0,AFC,2010-05-26,2010
81,Jamaica,JAM,399.0,CONCACAF,2010-05-26,2010
82,Belarus,BLR,397.0,UEFA,2010-05-26,2010
83,South Africa,RSA,392.0,CAF,2010-05-26,2010
84,China PR,CHN,387.0,AFC,2010-05-26,2010
85,Mozambique,MOZ,383.0,CAF,2010-05-26,2010
86,Malawi,MWI,382.0,CAF,2010-05-26,2010
87,Guinea,GUI,381.0,CAF,2010-05-26,2010
88,Angola,ANG,379.0,CAF,2010-05-26,2010
89,Moldova,MDA,378.0,UEFA,2010-05-26,2010
90,Iceland,ISL,367.0,UEFA,2010-05-26,2010
91,Oman,OMA,362.0,AFC,2010-05-26,2010
91,Haiti,HAI,362.0,CONCACAF,2010-05-26,2010
93,Gambia,GAM,361.0,CAF,2010-05-26,2010
94,Uzbekistan,UZB,354.0,AFC,2010-05-26,2010
95,Trinidad and Tobago,TRI,353.0,CONCACAF,2010-05-26,2010
96,Qatar,QAT,351.0,AFC,2010-05-26,2010
97,Kuwait,KUW,350.0,AFC,2010-05-26,2010
98,Syria,SYR,343.0,AFC,2010-05-26,2010
99,Estonia,EST,320.0,UEFA,2010-05-26,2010
100,Armenia,ARM,311.0,UEFA,2010-05-26,2010
101,United Arab Emirates,UAE,310.0,AFC,2010-05-26,2010
102,Libya,LBY,309.0,CAF,2010-05-26,2010
103,Congo,CGO,308.0,CAF,2010-05-26,2010
104,Jordan,JOR,300.0,AFC,2010-05-26,2010
105,Korea DPR,PRK,285.0,AFC,2010-05-26,2010
106,Thailand,THA,276.0,AFC,2010-05-26,2010
107,Rwanda,RWA,269.0,CAF,2010-05-26,2010
108,Tanzania,TAN,261.0,CAF,2010-05-26,2010
109,Azerbaijan,AZE,259.0,UEFA,2010-05-26,2010
110,Zimbabwe,ZIM,258.0,CAF,2010-05-26,2010
111,Namibia,NAM,251.0,CAF,2010-05-26,2010
112,Yemen,YEM,248.0,AFC,2010-05-26,2010
113,Kenya,KEN,243.0,CAF,2010-05-26,2010
114,Guatemala,GUA,241.0,CONCACAF,2010-05-26,2010
114,Cape Verde,CPV,241.0,CAF,2010-05-26,2010
116,Botswana,BOT,236.0,CAF,2010-05-26,2010
117,Vietnam,VIE,231.0,AFC,2010-05-26,2010
118,Sudan,SDN,219.0,CAF,2010-05-26,2010
119,Antigua and Barbuda,ATG,218.0,CONCACAF,2010-05-26,2010
120,Georgia,GEO,217.0,UEFA,2010-05-26,2010
121,Congo DR,COD,215.0,CAF,2010-05-26,2010
122,Guyana,GUY,205.0,CONCACAF,2010-05-26,2010
123,Ethiopia,ETH,200.0,CAF,2010-05-26,2010
124,Grenada,GRN,198.0,CONCACAF,2010-05-26,2010
125,Faroe Islands,FRO,196.0,UEFA,2010-05-26,2010
126,Cuba,CUB,194.0,CONCACAF,2010-05-26,2010
127,Singapore,SGP,193.0,AFC,2010-05-26,2010
127,Luxembourg,LUX,193.0,UEFA,2010-05-26,2010
129,Kazakhstan,KAZ,183.0,UEFA,2010-05-26,2010
130,Sierra Leone,SLE,181.0,CAF,2010-05-26,2010
131,Swaziland,SWZ,171.0,CAF,2010-05-26,2010
132,Fiji,FIJ,167.0,OFC,2010-05-26,2010
133,India,IND,163.0,AFC,2010-05-26,2010
134,Bermuda,BER,160.0,CONCACAF,2010-05-26,2010
135,Tajikistan,TJK,155.0,AFC,2010-05-26,2010
135,Barbados,BRB,155.0,CONCACAF,2010-05-26,2010
137,Indonesia,IDN,153.0,AFC,2010-05-26,2010
137,Suriname,SUR,153.0,CONCACAF,2010-05-26,2010
139,Turkmenistan,TKM,151.0,AFC,2010-05-26,2010
140,Hong Kong,HKG,150.0,AFC,2010-05-26,2010
141,Equatorial Guinea,EQG,142.0,CAF,2010-05-26,2010
142,Maldives,MDV,129.0,AFC,2010-05-26,2010
143,Chad,CHA,128.0,CAF,2010-05-26,2010
144,Burundi,BDI,127.0,CAF,2010-05-26,2010
145,New Caledonia,NCL,126.0,OFC,2010-05-26,2010
146,Malaysia,MAS,123.0,AFC,2010-05-26,2010
147,Myanmar,MYA,122.0,AFC,2010-05-26,2010
148,Madagascar,MAD,121.0,CAF,2010-05-26,2010
149,Liechtenstein,LIE,117.0,UEFA,2010-05-26,2010
150,Liberia,LBR,114.0,CAF,2010-05-26,2010
151,St. Kitts and Nevis,SKN,113.0,CONCACAF,2010-05-26,2010
152,Lesotho,LES,109.0,CAF,2010-05-26,2010
153,Vanuatu,VAN,108.0,OFC,2010-05-26,2010
154,Netherlands Antilles,ANT,103.0,CONCACAF,2010-05-26,2010
155,Nicaragua,NCA,101.0,CONCACAF,2010-05-26,2010
155,Eritrea,ERI,101.0,CAF,2010-05-26,2010
157,Bangladesh,BAN,100.0,AFC,2010-05-26,2010
157,Malta,MLT,100.0,UEFA,2010-05-26,2010
159,Sri Lanka,SRI,99.0,AFC,2010-05-26,2010
160,Lebanon,LIB,98.0,AFC,2010-05-26,2010
161,Nepal,NEP,96.0,AFC,2010-05-26,2010
162,Niger,NIG,92.0,CAF,2010-05-26,2010
163,St. Vincent and the Grenadines,VIN,91.0,CONCACAF,2010-05-26,2010
164,Mauritania,MTN,81.0,CAF,2010-05-26,2010
165,Pakistan,PAK,78.0,AFC,2010-05-26,2010
166,Puerto Rico,PUR,76.0,CONCACAF,2010-05-26,2010
167,Chinese Taipei,TPE,75.0,AFC,2010-05-26,2010
168,Kyrgyz Republic,KGZ,74.0,AFC,2010-05-26,2010
169,Philippines,PHI,67.0,AFC,2010-05-26,2010
170,Solomon Islands,SOL,60.0,OFC,2010-05-26,2010
171,Comoros,COM,43.0,CAF,2010-05-26,2010
172,Mauritius,MRI,40.0,CAF,2010-05-26,2010
173,Cayman Islands,CAY,39.0,CONCACAF,2010-05-26,2010
173,Laos,LAO,39.0,AFC,2010-05-26,2010
173,Somalia,SOM,39.0,CAF,2010-05-26,2010
173,Palestine,PLE,39.0,AFC,2010-05-26,2010
177,Samoa,SAM,38.0,OFC,2010-05-26,2010
178,Seychelles,SEY,37.0,CAF,2010-05-26,2010
179,Belize,BLZ,36.0,CONCACAF,2010-05-26,2010
179,Mongolia,MNG,36.0,AFC,2010-05-26,2010
181,Cook Islands,COK,34.0,OFC,2010-05-26,2010
181,Bahamas,BAH,34.0,CONCACAF,2010-05-26,2010
183,Dominica,DMA,33.0,CONCACAF,2010-05-26,2010
184,Turks and Caicos Islands,TCA,32.0,CONCACAF,2010-05-26,2010
185,Cambodia,CAM,30.0,AFC,2010-05-26,2010
186,Tonga,TGA,28.0,OFC,2010-05-26,2010
187,Dominican Republic,DOM,26.0,CONCACAF,2010-05-26,2010
188,Djibouti,DJI,23.0,CAF,2010-05-26,2010
189,Afghanistan,AFG,21.0,AFC,2010-05-26,2010
189,Brunei Darussalam,BRU,21.0,AFC,2010-05-26,2010
191,Tahiti,TAH,19.0,OFC,2010-05-26,2010
191,Guinea-Bissau,GNB,19.0,CAF,2010-05-26,2010
191,St. Lucia,LCA,19.0,CONCACAF,2010-05-26,2010
194,British Virgin Islands,VGB,18.0,CONCACAF,2010-05-26,2010
195,Guam,GUM,17.0,AFC,2010-05-26,2010
196,Bhutan,BHU,15.0,AFC,2010-05-26,2010
197,Macau,MAC,14.0,AFC,2010-05-26,2010
198,Aruba,ARU,11.0,CONCACAF,2010-05-26,2010
199,US Virgin Islands,VIR,5.0,CONCACAF,2010-05-26,2010
200,Timor-Leste,TLS,4.0,AFC,2010-05-26,2010
201,Andorra,AND,2.0,UEFA,2010-05-26,2010
1,Spain,ESP,1485.0,UEFA,2014-06-05,2014
2,Germany,GER,1300.0,UEFA,2014-06-05,2014
3,Brazil,BRA,1242.0,CONMEBOL,2014-06-05,2014
4,Portugal,POR,1189.0,UEFA,2014-06-05,2014
5,Argentina,ARG,1175.0,CONMEBOL,2014-06-05,2014
6,Switzerland,SUI,1149.0,UEFA,2014-06-05,2014
7,Uruguay,URU,1147.0,CONMEBOL,2014-06-05,2014
8,Colombia,COL,1137.0,CONMEBOL,2014-06-05,2014
9,Italy,ITA,1104.0,UEFA,2014-06-05,2014
10,England,ENG,1090.0,UEFA,2014-06-05,2014
11,Belgium,BEL,1074.0,UEFA,2014-06-05,2014
12,Greece,GRE,1064.0,UEFA,2014-06-05,2014
13,USA,USA,1035.0,CONCACAF,2014-06-05,2014
14,Chile,CHI,1026.0,CONMEBOL,2014-06-05,2014
15,Netherlands,NED,981.0,UEFA,2014-06-05,2014
16,Ukraine,UKR,915.0,UEFA,2014-06-05,2014
17,France,FRA,913.0,UEFA,2014-06-05,2014
18,Croatia,CRO,903.0,UEFA,2014-06-05,2014
19,Russia,RUS,893.0,UEFA,2014-06-05,2014
20,Mexico,MEX,882.0,CONCACAF,2014-06-05,2014
21,Bosnia and Herzegovina,BIH,873.0,UEFA,2014-06-05,2014
22,Algeria,ALG,858.0,CAF,2014-06-05,2014
23,Cote d'Ivoire,CIV,809.0,CAF,2014-06-05,2014
23,Denmark,DEN,809.0,UEFA,2014-06-05,2014
25,Slovenia,SVN,800.0,UEFA,2014-06-05,2014
26,Ecuador,ECU,791.0,CONMEBOL,2014-06-05,2014
27,Scotland,SCO,786.0,UEFA,2014-06-05,2014
28,Costa Rica,CRC,762.0,CONCACAF,2014-06-05,2014
29,Romania,ROU,761.0,UEFA,2014-06-05,2014
30,Serbia,SRB,745.0,UEFA,2014-06-05,2014
31,Panama,PAN,743.0,CONCACAF,2014-06-05,2014
32,Sweden,SWE,741.0,UEFA,2014-06-05,2014
33,Honduras,HON,731.0,CONCACAF,2014-06-05,2014
34,Czech Republic,CZE,724.0,UEFA,2014-06-05,2014
35,Turkiye,TUR,722.0,UEFA,2014-06-05,2014
36,Egypt,EGY,715.0,CAF,2014-06-05,2014
37,Ghana,GHA,704.0,CAF,2014-06-05,2014
38,Armenia,ARM,682.0,UEFA,2014-06-05,2014
39,Cape Verde,CPV,674.0,CAF,2014-06-05,2014
40,Venezuela,VEN,672.0,CONMEBOL,2014-06-05,2014
41,Wales,WAL,644.0,UEFA,2014-06-05,2014
42,Austria,AUT,643.0,UEFA,2014-06-05,2014
43,IR Iran,IRN,641.0,AFC,2014-06-05,2014
44,Nigeria,NGA,640.0,CAF,2014-06-05,2014
45,Peru,PER,627.0,CONMEBOL,2014-06-05,2014
46,Japan,JPN,626.0,AFC,2014-06-05,2014
47,Hungary,HUN,624.0,UEFA,2014-06-05,2014
48,Tunisia,TUN,612.0,CAF,2014-06-05,2014
49,Slovakia,SVK,591.0,UEFA,2014-06-05,2014
50,Paraguay,PAR,575.0,CONMEBOL,2014-06-05,2014
51,Montenegro,MNE,574.0,UEFA,2014-06-05,2014
52,Iceland,ISL,566.0,UEFA,2014-06-05,2014
52,Guinea,GUI,566.0,CAF,2014-06-05,2014
54,Sierra Leone,SLE,565.0,CAF,2014-06-05,2014
55,Norway,NOR,562.0,UEFA,2014-06-05,2014
56,Cameroon,CMR,558.0,CAF,2014-06-05,2014
57,Korea Republic,KOR,547.0,AFC,2014-06-05,2014
57,Mali,MLI,547.0,CAF,2014-06-05,2014
59,Uzbekistan,UZB,539.0,AFC,2014-06-05,2014
60,Burkina Faso,BFA,538.0,CAF,2014-06-05,2014
61,Finland,FIN,532.0,UEFA,2014-06-05,2014
62,Australia,AUS,526.0,AFC,2014-06-05,2014
63,Jordan,JOR,510.0,AFC,2014-06-05,2014
64,Libya,LBY,498.0,CAF,2014-06-05,2014
65,South Africa,RSA,496.0,CAF,2014-06-05,2014
66,Albania,ALB,495.0,UEFA,2014-06-05,2014
67,Bolivia,BOL,483.0,CONMEBOL,2014-06-05,2014
68,El Salvador,SLV,481.0,CONCACAF,2014-06-05,2014
69,Poland,POL,474.0,UEFA,2014-06-05,2014
70,Republic of Ireland,IRL,473.0,UEFA,2014-06-05,2014
71,Trinidad and Tobago,TRI,470.0,CONCACAF,2014-06-05,2014
72,United Arab Emirates,UAE,460.0,AFC,2014-06-05,2014
73,Haiti,HAI,452.0,CONCACAF,2014-06-05,2014
74,Senegal,SEN,451.0,CAF,2014-06-05,2014
75,Israel,ISR,444.0,UEFA,2014-06-05,2014
76,Zambia,ZAM,441.0,CAF,2014-06-05,2014
77,Morocco,MAR,439.0,CAF,2014-06-05,2014
78,Bulgaria,BUL,425.0,UEFA,2014-06-05,2014
79,Oman,OMA,420.0,AFC,2014-06-05,2014
80,North Macedonia,MKD,419.0,UEFA,2014-06-05,2014
81,Jamaica,JAM,411.0,CONCACAF,2014-06-05,2014
82,Belarus,BLR,397.0,UEFA,2014-06-05,2014
83,Azerbaijan,AZE,396.0,UEFA,2014-06-05,2014
84,Congo DR,COD,395.0,CAF,2014-06-05,2014
85,Congo,CGO,393.0,CAF,2014-06-05,2014
86,Uganda,UGA,390.0,CAF,2014-06-05,2014
87,Benin,BEN,386.0,CAF,2014-06-05,2014
88,Togo,TOG,383.0,CAF,2014-06-05,2014
89,Gabon,GAB,382.0,CAF,2014-06-05,2014
90,Saudi Arabia,KSA,381.0,AFC,2014-06-05,2014
90,Northern Ireland,NIR,381.0,UEFA,2014-06-05,2014
92,Botswana,BOT,375.0,CAF,2014-06-05,2014
93,Angola,ANG,364.0,CAF,2014-06-05,2014
94,Palestine,PLE,358.0,AFC,2014-06-05,2014
95,Cuba,CUB,354.0,CONCACAF,2014-06-05,2014
96,Georgia,GEO,349.0,UEFA,2014-06-05,2014
97,New Zealand,NZL,347.0,OFC,2014-06-05,2014
98,Estonia,EST,343.0,UEFA,2014-06-05,2014
99,Zimbabwe,ZIM,340.0,CAF,2014-06-05,2014
100,Qatar,QAT,339.0,AFC,2014-06-05,2014
101,Moldova,MDA,334.0,UEFA,2014-06-05,2014
102,Equatorial Guinea,EQG,333.0,CAF,2014-06-05,2014
103,China PR,CHN,331.0,AFC,2014-06-05,2014
104,Iraq,IRQ,329.0,AFC,2014-06-05,2014
105,Central African Republic,CTA,321.0,CAF,2014-06-05,2014
106,Lithuania,LTU,319.0,UEFA,2014-06-05,2014
107,Ethiopia,ETH,317.0,CAF,2014-06-05,2014
108,Kenya,KEN,296.0,CAF,2014-06-05,2014
109,Latvia,LVA,293.0,UEFA,2014-06-05,2014
110,Canada,CAN,289.0,CONCACAF,2014-06-05,2014
110,Bahrain,BHR,289.0,AFC,2014-06-05,2014
112,Niger,NIG,284.0,CAF,2014-06-05,2014
113,Tanzania,TAN,283.0,CAF,2014-06-05,2014
114,Namibia,NAM,277.0,CAF,2014-06-05,2014
115,Kuwait,KUW,276.0,AFC,2014-06-05,2014
116,Rwanda,RWA,271.0,CAF,2014-06-05,2014
116,Liberia,LBR,271.0,CAF,2014-06-05,2014
118,Mozambique,MOZ,269.0,CAF,2014-06-05,2014
119,Luxembourg,LUX,267.0,UEFA,2014-06-05,2014
120,Aruba,ARU,254.0,CONCACAF,2014-06-05,2014
120,Sudan,SDN,254.0,CAF,2014-06-05,2014
122,Malawi,MWI,247.0,CAF,2014-06-05,2014
123,Vietnam,VIE,242.0,AFC,2014-06-05,2014
124,Kazakhstan,KAZ,241.0,UEFA,2014-06-05,2014
125,Lebanon,LIB,233.0,AFC,2014-06-05,2014
126,Tajikistan,TJK,229.0,AFC,2014-06-05,2014
127,Guatemala,GUA,226.0,CONCACAF,2014-06-05,2014
128,Burundi,BDI,221.0,CAF,2014-06-05,2014
129,Philippines,PHI,217.0,AFC,2014-06-05,2014
130,Afghanistan,AFG,215.0,AFC,2014-06-05,2014
131,Dominican Republic,DOM,212.0,CONCACAF,2014-06-05,2014
132,Malta,MLT,204.0,UEFA,2014-06-05,2014
133,St. Vincent and the Grenadines,VIN,203.0,CONCACAF,2014-06-05,2014
134,Chad,CHA,201.0,CAF,2014-06-05,2014
134,Guinea-Bissau,GNB,201.0,CAF,2014-06-05,2014
136,Suriname,SUR,197.0,CONCACAF,2014-06-05,2014
137,St. Lucia,LCA,196.0,CONCACAF,2014-06-05,2014
137,Mauritania,MTN,196.0,CAF,2014-06-05,2014
139,Lesotho,LES,194.0,CAF,2014-06-05,2014
140,Syria,SYR,190.0,AFC,2014-06-05,2014
140,New Caledonia,NCL,190.0,OFC,2014-06-05,2014
142,Cyprus,CYP,189.0,UEFA,2014-06-05,2014
143,Turkmenistan,TKM,183.0,AFC,2014-06-05,2014
144,Madagascar,MAD,182.0,CAF,2014-06-05,2014
144,Grenada,GRN,182.0,CONCACAF,2014-06-05,2014
146,Korea DPR,PRK,175.0,AFC,2014-06-05,2014
147,Maldives,MDV,171.0,AFC,2014-06-05,2014
148,Gambia,GAM,166.0,CAF,2014-06-05,2014
149,Thailand,THA,163.0,AFC,2014-06-05,2014
149,Kyrgyz Republic,KGZ,163.0,AFC,2014-06-05,2014
151,Antigua and Barbuda,ATG,158.0,CONCACAF,2014-06-05,2014
152,Belize,BLZ,152.0,CONCACAF,2014-06-05,2014
153,Malaysia,MAS,149.0,AFC,2014-06-05,2014
154,India,IND,144.0,AFC,2014-06-05,2014
155,Singapore,SGP,141.0,AFC,2014-06-05,2014
156,Guyana,GUY,137.0,CONCACAF,2014-06-05,2014
157,Indonesia,IDN,135.0,AFC,2014-06-05,2014
158,Puerto Rico,PUR,134.0,CONCACAF,2014-06-05,2014
159,Myanmar,MYA,133.0,AFC,2014-06-05,2014
160,St. Kitts and Nevis,SKN,124.0,CONCACAF,2014-06-05,2014
161,Tahiti,TAH,122.0,OFC,2014-06-05,2014
162,Liechtenstein,LIE,118.0,UEFA,2014-06-05,2014
163,Hong Kong,HKG,112.0,AFC,2014-06-05,2014
164,Nepal,NEP,102.0,AFC,2014-06-05,2014
164,Pakistan,PAK,102.0,AFC,2014-06-05,2014
166,Montserrat,MSR,99.0,CONCACAF,2014-06-05,2014
167,Bangladesh,BAN,98.0,AFC,2014-06-05,2014
168,Laos,LAO,97.0,AFC,2014-06-05,2014
169,Dominica,DMA,93.0,CONCACAF,2014-06-05,2014
170,Barbados,BRB,92.0,CONCACAF,2014-06-05,2014
171,Faroe Islands,FRO,89.0,UEFA,2014-06-05,2014
172,Sao Tome e Principe,STP,86.0,CAF,2014-06-05,2014
173,Swaziland,SWZ,85.0,CAF,2014-06-05,2014
174,Comoros,COM,84.0,CAF,2014-06-05,2014
175,Bermuda,BER,83.0,CONCACAF,2014-06-05,2014
176,Chinese Taipei,TPE,78.0,AFC,2014-06-05,2014
176,Nicaragua,NCA,78.0,CONCACAF,2014-06-05,2014
178,Guam,GUM,77.0,AFC,2014-06-05,2014
179,Sri Lanka,SRI,73.0,AFC,2014-06-05,2014
180,Solomon Islands,SOL,70.0,OFC,2014-06-05,2014
181,Seychelles,SEY,66.0,CAF,2014-06-05,2014
182,Curacao,CUW,65.0,CONCACAF,2014-06-05,2014
183,Yemen,YEM,61.0,AFC,2014-06-05,2014
184,Mauritius,MRI,57.0,CAF,2014-06-05,2014
185,South Sudan,SSD,47.0,CAF,2014-06-05,2014
186,Bahamas,BAH,40.0,CONCACAF,2014-06-05,2014
187,Mongolia,MNG,35.0,AFC,2014-06-05,2014
188,Fiji,FIJ,34.0,OFC,2014-06-05,2014
189,Samoa,SAM,32.0,OFC,2014-06-05,2014
190,Vanuatu,VAN,28.0,OFC,2014-06-05,2014
190,Cambodia,CAM,28.0,AFC,2014-06-05,2014
192,Tonga,TGA,26.0,OFC,2014-06-05,2014
192,Timor-Leste,TLS,26.0,AFC,2014-06-05,2014
192,Brunei Darussalam,BRU,26.0,AFC,2014-06-05,2014
195,US Virgin Islands,VIR,23.0,CONCACAF,2014-06-05,2014
196,Papua New Guinea,PNG,21.0,OFC,2014-06-05,2014
196,Cayman Islands,CAY,21.0,CONCACAF,2014-06-05,2014
198,American Samoa,ASA,18.0,OFC,2014-06-05,2014
198,British Virgin Islands,VGB,18.0,CONCACAF,2014-06-05,2014
200,Andorra,AND,16.0,UEFA,2014-06-05,2014
201,Eritrea,ERI,11.0,CAF,2014-06-05,2014
202,Macau,MAC,8.0,AFC,2014-06-05,2014
202,Somalia,SOM,8.0,CAF,2014-06-05,2014
204,Djibouti,DJI,6.0,CAF,2014-06-05,2014
205,Cook Islands,COK,5.0,OFC,2014-06-05,2014
206,Anguilla,AIA,3.0,CONCACAF,2014-06-05,2014
1,Germany,GER,1558.0,UEFA,2018-06-07,2018
2,Brazil,BRA,1431.0,CONMEBOL,2018-06-07,2018
3,Belgium,BEL,1298.0,UEFA,2018-06-07,2018
4,Portugal,POR,1274.0,UEFA,2018-06-07,2018
5,Argentina,ARG,1241.0,CONMEBOL,2018-06-07,2018
6,Switzerland,SUI,1199.0,UEFA,2018-06-07,2018
7,France,FRA,1198.0,UEFA,2018-06-07,2018
8,Poland,POL,1183.0,UEFA,2018-06-07,2018
9,Chile,CHI,1135.0,CONMEBOL,2018-06-07,2018
10,Spain,ESP,1126.0,UEFA,2018-06-07,2018
11,Peru,PER,1125.0,CONMEBOL,2018-06-07,2018
12,Denmark,DEN,1051.0,UEFA,2018-06-07,2018
12,England,ENG,1051.0,UEFA,2018-06-07,2018
14,Uruguay,URU,1018.0,CONMEBOL,2018-06-07,2018
15,Mexico,MEX,989.0,CONCACAF,2018-06-07,2018
16,Colombia,COL,986.0,CONMEBOL,2018-06-07,2018
17,Netherlands,NED,981.0,UEFA,2018-06-07,2018
18,Wales,WAL,953.0,UEFA,2018-06-07,2018
19,Italy,ITA,951.0,UEFA,2018-06-07,2018
20,Croatia,CRO,945.0,UEFA,2018-06-07,2018
21,Tunisia,TUN,910.0,CAF,2018-06-07,2018
22,Iceland,ISL,908.0,UEFA,2018-06-07,2018
23,Costa Rica,CRC,884.0,CONCACAF,2018-06-07,2018
24,Sweden,SWE,880.0,UEFA,2018-06-07,2018
25,USA,USA,873.0,CONCACAF,2018-06-07,2018
26,Austria,AUT,845.0,UEFA,2018-06-07,2018
27,Senegal,SEN,838.0,CAF,2018-06-07,2018
28,Slovakia,SVK,804.0,UEFA,2018-06-07,2018
29,Northern Ireland,NIR,803.0,UEFA,2018-06-07,2018
30,Romania,ROU,782.0,UEFA,2018-06-07,2018
31,Republic of Ireland,IRL,777.0,UEFA,2018-06-07,2018
32,Paraguay,PAR,773.0,CONMEBOL,2018-06-07,2018
33,Venezuela,VEN,755.0,CONMEBOL,2018-06-07,2018
34,Serbia,SRB,751.0,UEFA,2018-06-07,2018
35,Ukraine,UKR,733.0,UEFA,2018-06-07,2018
36,Australia,AUS,718.0,AFC,2018-06-07,2018
37,IR Iran,IRN,708.0,AFC,2018-06-07,2018
38,Turkiye,TUR,706.0,UEFA,2018-06-07,2018
38,Congo DR,COD,706.0,CAF,2018-06-07,2018
40,Bosnia and Herzegovina,BIH,693.0,UEFA,2018-06-07,2018
41,Morocco,MAR,686.0,CAF,2018-06-07,2018
42,Scotland,SCO,660.0,UEFA,2018-06-07,2018
43,Montenegro,MNE,652.0,UEFA,2018-06-07,2018
44,Greece,GRE,650.0,UEFA,2018-06-07,2018
45,Egypt,EGY,649.0,CAF,2018-06-07,2018
46,Czech Republic,CZE,641.0,UEFA,2018-06-07,2018
47,Ghana,GHA,624.0,CAF,2018-06-07,2018
48,Nigeria,NGA,618.0,CAF,2018-06-07,2018
49,Bulgaria,BUL,614.0,UEFA,2018-06-07,2018
49,Cameroon,CMR,614.0,CAF,2018-06-07,2018
51,Hungary,HUN,612.0,UEFA,2018-06-07,2018
52,Burkina Faso,BFA,604.0,CAF,2018-06-07,2018
53,Norway,NOR,596.0,UEFA,2018-06-07,2018
54,Jamaica,JAM,588.0,CONCACAF,2018-06-07,2018
